ProductID,ProductName,Price
1,Back Massager,2247
2,Backpack,8148
3,Blender,3774
4,Bluetooth Earbuds,7440
5,Bluetooth Speaker,6309
6,Bookshelf,2695
7,Camping Tent,3214
8,Camera,3874
9,Chair,9313
10,Coffee Maker,534
11,Coffee Table,9152
12,Curling Iron,5675
13,Desk,8336
14,Desk Lamp,7314
15,Desk Organizer,7998
16,Drone,8727
17,Dumbbells,6266
18,Electric Guitar,2933
19,Espresso Machine,9153
20,External Hard Drive,2418
21,Gaming Console,1959
22,Grill,5923
23,Headphones,3843
24,Hiking Boots,9217
25,Keyboard,450
26,Laptop,8742
27,Microwave,2553
28,Mouse,8854
29,Office Chair,4427
30,Portable Fan,7424
31,Power Bank,9746
32,Printer,7269
33,Printer Paper,6472
34,Projector,2133
35,Running Boots,1626
36,Running Jacket,4781
37,Smartphone,6882
38,Snow Boots,6365
39,Snowboard,1539
40,Soccer Ball,3018
41,Sunglasses,7829
42,Suitcase,9215
43,Sweater,3701
44,Tablet,1686
45,Tablet Stand,6181
46,Television,429
47,Toaster,6790
48,Travel Mug,548
49,Wall Clock,2872
50,Watch,6431
